PitcherId,id,Pitcher,birthDate,height,height_ft,pitchHand,primaryPosition,active,team,Temporada_Anio,strikeZoneTop,strikeZoneBottom
1.0,1,,1900-01-01,"0'0""",6.4,Right,N/A,true,SIN_EQUIPO,Verano-2025,3.543,1.609
2.0,2,,1900-01-01,"0'0""",6.4,Left,N/A,true,SIN_EQUIPO,Verano-2025,3.543,1.609
667918.0,667918,"Casillas, Erick",1997-01-01,"5' 10""",5.833,Right,Pitcher,true,GEN_MEX,Verano-2025,,
692601.0,692601,"Rodriguez, Erick",2002-03-21,"5' 10""",5.833,Right,Pitcher,true,SUL_MON,Verano-2025,,
678713.0,678713,"Contreras, Efrain",2000-01-02,"5' 10""",5.833,Right,Pitcher,true,DIA_ROJ,Verano-2025,,
502515.0,502515,"Barron, Raul",1986-04-04,"5' 10""",5.833,Right,Pitcher,true,OLM_MEX,Verano-2025,,
644429.0,644429,"Severino, Anderson",1994-09-17,"5' 10""",5.833,Left,Pitcher,true,ACE_MEX,Verano-2025,,
666627.0,666627,"Carrera, Faustino",1999-03-09,"5' 10""",5.833,Left,Pitcher,true,BRA_MEX,Verano-2025,,
679001.0,679001,"Torres-Perez, Braulio",1993-04-09,"5' 10""",5.833,Left,Pitcher,true,SAR_SAL,Verano-2025,,
834726.0,834726,"Neira, Miguel",2004-09-07,"5' 10""",5.833,Left,Pitcher,true,OLM_MEX,Verano-2025,,
645307.0,645307,"Sánchez, Ricardo",1997-04-11,"5' 10""",5.833,Left,Pitcher,true,VAQ_LAG,Verano-2025,,
678669.0,678669,"Carrillo, Alejandro",2000-02-05,"5' 10""",5.833,Left,Pitcher,true,PER_MEX,Verano-2025,,
656954.0,656954,"Sheffield, Justus",1996-05-13,"5' 10""",5.833,Left,Pitcher,true,SUL_MON,Verano-2025,,
663894.0,663894,"Gilliam, Ryley",1996-08-11,"5' 10""",5.833,Right,Pitcher,true,ACE_MEX,Verano-2025,,
544365.0,544365,"Bañuelos, Manny",1991-03-13,"5' 10""",5.833,Left,Pitcher,true,SUL_MON,Verano-2025,,
679304.0,679304,"Birlingmair, Reid",1996-11-13,"5' 10""",5.833,Right,Pitcher,true,GUE_MEX,Verano-2025,,
703006.0,703006,"Sauceda, Jorge",2002-01-17,"5' 10""",5.833,Right,Pitcher,true,GEN_MEX,Verano-2025,,
593468.0,593468,"Custodio, Claudio",1990-10-30,"5' 10""",5.833,Right,Pitcher,true,PER_MEX,Verano-2025,,
502179.0,502179,"Espino, Paolo",1987-01-10,"5' 10""",5.833,Right,Pitcher,true,CON_QUE,Verano-2025,,
806517.0,806517,"Arias, Saul",2004-08-16,"5' 10""",5.833,Right,Pitcher,true,DIA_ROJ,Verano-2025,,
616570.0,616570,"Sanchez, Daniel",1992-12-16,"5' 10""",5.833,Right,Catcher,true,ROJ_MEX,Verano-2025,,
684871.0,684871,"Mejia, Enmanuel",1998-12-22,"5' 11""",5.917,Right,Pitcher,true,GUE_MEX,Verano-2025,,
650980.0,650980,"Zazueta, Samuel",1996-11-21,"5' 11""",5.917,Left,Pitcher,true,SAR_SAL,Verano-2025,,
801994.0,801994,"Martinez, R.J.",1998-09-14,"5' 11""",5.917,Left,Pitcher,true,GEN_MEX,Verano-2025,,
666674.0,666674,"Colina, Edwar",1997-05-03,"5' 11""",5.917,Right,Pitcher,true,GUE_MEX,Verano-2025,,
622739.0,622739,"Gracia, Ariel",1994-09-17,"5' 11""",5.917,Left,Pitcher,true,TIG_QUI,Verano-2025,,
600914.0,600914,"Joaquin, Ulises",1992-06-11,"5' 11""",5.917,Right,Pitcher,true,CON_QUE,Verano-2025,,
643354.0,643354,"Hart, Donnie",1990-09-06,"5' 11""",5.917,Left,Pitcher,true,ROJ_MEX,Verano-2025,,
684118.0,684118,"Buelna, Victor",1999-04-04,"5' 11""",5.917,Right,Pitcher,true,AGU_VER,Verano-2025,,
828656.0,828656,"Villavicencio, Luis",2004-02-06,"5' 11""",5.917,Right,Pitcher,true,CHA_JAL1,Verano-2025,,
665958.0,665958,"Torres, Darel",1999-01-05,"5' 11""",5.917,Right,Pitcher,true,DOR_CHI,Verano-2025,,
670328.0,670328,"Gámez, Juan",1994-03-07,"5' 11""",5.917,Right,Pitcher,true,SUL_MON,Verano-2025,,
820829.0,820829,"Hasty, Charlie",1997-03-22,"5' 11""",5.917,Right,Pitcher,true,PER_MEX,Verano-2025,,
680660.0,680660,"Valenzuela, Oscar",2001-03-02,"5' 11""",5.917,Right,Pitcher,true,GUE_MEX,Verano-2025,,
675188.0,675188,"Villalobos, Hector",1996-08-19,"5' 11""",5.917,Left,Pitcher,true,PER_MEX,Verano-2025,,
806883.0,806883,"Ramirez, Luis",2004-11-01,"5' 11""",5.917,Right,Pitcher,true,LEO_MEX,Verano-2025,,
815773.0,815773,"Cuello, Oscar",2002-07-29,"5' 11""",5.917,Left,Pitcher,false,REI_MEX,Verano-2025,,
660671.0,660671,"Pantoja, Yorvin",1997-09-22,"5' 11""",5.917,Left,Pitcher,true,TIG_QUI,Verano-2025,,
672550.0,672550,"Correa, Danis",1999-08-26,"5' 11""",5.917,Right,Pitcher,true,VAQ_LAG,Verano-2025,,
681659.0,681659,"Rodriguez, Jorge",2000-08-25,"5' 11""",5.917,Left,Pitcher,true,ACE_MEX,Verano-2025,,
671760.0,671760,"Jimenez, Mario",1995-12-06,"5' 11""",5.917,Right,Pitcher,true,AGU_VER,Verano-2025,,
678789.0,678789,"Robaina, Julio",2001-03-23,"5' 11""",5.917,Left,Pitcher,true,TIG_QUI,Verano-2025,,
690345.0,690345,"Garcia, Pedro",1995-03-21,"5' 11""",5.917,Right,Pitcher,true,BRA_MEX,Verano-2025,,
592865.0,592865,"Williams, Taylor",1991-07-21,"5' 11""",5.917,Right,Pitcher,true,VAQ_LAG,Verano-2025,,
622103.0,622103,"Reyes, Gerardo",1993-05-13,"5' 11""",5.917,Right,Pitcher,true,DIA_ROJ,Verano-2025,,
642532.0,642532,"Miranda, Luis",1994-09-05,"5' 11""",5.917,Right,Pitcher,true,GUE_MEX,Verano-2025,,
664284.0,664284,"Espinal, Carlos",1996-10-21,"5' 11""",5.917,Right,Pitcher,true,BRA_MEX,Verano-2025,,
594582.0,594582,"Negrin, Yoanner",1984-04-29,"5' 11""",5.917,Right,Pitcher,true,LEO_MEX,Verano-2025,,
677369.0,677369,"Warner, Austin",1994-06-27,"5' 11""",5.917,Left,Pitcher,true,ACE_MEX,Verano-2025,,
532893.0,532893,"Salas, Ivan",1990-12-30,"5' 11""",5.917,Left,Pitcher,true,OLM_MEX,Verano-2025,,
650605.0,650605,"Saldana, Abdiel",1996-03-13,"5' 11""",5.917,Right,Pitcher,true,DOR_CHI,Verano-2025,,
664714.0,664714,"Newsome, Ljay",1996-11-08,"5' 11""",5.917,Right,Pitcher,true,PIR_MEX,Verano-2025,,
677076.0,677076,"Andrews, Clayton",1997-01-04,"5' 6""",5.5,Left,Pitcher,true,TIG_QUI,Verano-2025,,
661265.0,661265,"Yera, Yoennis",1989-10-18,"5' 7""",5.583,Left,Pitcher,true,OLM_MEX,Verano-2025,,
802392.0,802392,"Medina, Carlos",2004-11-08,"5' 7""",5.583,Right,Unknown,true,SUL_MON,Verano-2025,,
802389.0,802389,"Felix, Isaias",2002-10-16,"5' 7""",5.583,Left,Pitcher,true,VAQ_LAG,Verano-2025,,
681753.0,681753,"Hernandez, Adrian",2000-01-22,"5' 8""",5.667,Right,Pitcher,true,LEO_MEX,Verano-2025,,
703721.0,703721,"Izaguirre, Ivan",2001-09-16,"5' 8""",5.667,Right,Pitcher,true,SAR_SAL,Verano-2025,,
832718.0,832718,"Gamez, Josue",2002-05-15,"5' 8""",5.667,Right,Pitcher,true,DOR_CHI,Verano-2025,,
834960.0,834960,"Martinez, Oscar",2006-03-02,"5' 8""",5.667,Right,Pitcher,true,LEO_MEX,Verano-2025,,
835302.0,835302,"Itoh, Sho",1999-02-10,"5' 8""",5.667,Right,Pitcher,true,PIR_MEX,Verano-2025,,
802568.0,802568,"Zazueta, Daniel",2000-10-13,"5' 8""",5.667,Left,Pitcher,true,PER_MEX,Verano-2025,,
810862.0,810862,"Lopez, Angel",2002-09-16,"5' 8""",5.667,Left,Pitcher,true,BRA_MEX,Verano-2025,,
692272.0,692272,"Zenizo, Javier",2003-01-13,"5' 8""",5.667,Right,Pitcher,true,CON_QUE,Verano-2025,,
815670.0,815670,"Arias, Isaac",2004-05-16,"5' 8""",5.667,Right,Catcher,true,REI_MEX,Verano-2025,,
664823.0,664823,"Gutierrez, David",1993-08-18,"5' 9""",5.75,Right,Pitcher,true,TOR_TIJ,Verano-2025,,
667904.0,667904,"Marquez, Jose Isidro",1994-06-17,"5' 9""",5.75,Right,Pitcher,true,PIR_MEX,Verano-2025,,
670219.0,670219,"Kristofak, Zac",1997-12-08,"5' 9""",5.75,Right,Pitcher,true,PIR_MEX,Verano-2025,,
803170.0,803170,"Muniz, Fabian",1998-10-21,"5' 9""",5.75,Right,Pitcher,true,CON_QUE,Verano-2025,,
547921.0,547921,"Silva, Tiago Da",1985-03-28,"5' 9""",5.75,Right,Pitcher,true,GEN_MEX,Verano-2025,,
683124.0,683124,"Olguin, Fernando",2001-03-04,"5' 9""",5.75,Right,Pitcher,true,REI_MEX,Verano-2025,,
832573.0,832573,"Soria, Oscar",2004-08-24,"5' 9""",5.75,Right,Pitcher,true,ACE_MEX,Verano-2025,,
645179.0,645179,"Rodriguez, Luis Ivan",1996-08-24,"5' 9""",5.75,Right,Pitcher,true,CHA_JAL1,Verano-2025,,
634323.0,634323,"Quinones, Jorge",1994-09-16,"5' 9""",5.75,Left,Pitcher,true,TIG_QUI,Verano-2025,,
702924.0,702924,"Rodriguez, Edgar",1988-01-29,"5' 9""",5.75,Right,Pitcher,true,PER_MEX,Verano-2025,,
445995.0,445995,"Lopez, Arturo",1983-02-22,"5' 9""",5.75,Left,Pitcher,true,DIA_ROJ,Verano-2025,,
832709.0,832709,"Salomon, Angel",2002-08-24,"5' 9""",5.75,Right,Pitcher,true,AGU_VER,Verano-2025,,
700587.0,700587,"Marquez, Luis",1997-11-29,"5' 9""",5.75,Left,Pitcher,true,AGU_VER,Verano-2025,,
685692.0,685692,"Valenzuela, Vicente",2001-06-01,"5' 9""",5.75,Right,Pitcher,true,TIG_QUI,Verano-2025,,
690909.0,690909,"Cruz, Daniel",1999-09-08,"5' 9""",5.75,Right,Pitcher,true,BRA_MEX,Verano-2025,,
511648.0,511648,"Garzon, Antonio",1985-03-07,"5' 9""",5.75,Left,Pitcher,true,DOR_CHI,Verano-2025,,
678752.0,678752,"Avila, Luis De",2001-05-29,"5' 9""",5.75,Left,Pitcher,true,PER_MEX,Verano-2025,,
832719.0,832719,"Rojo, Santiago",2006-07-05,"5' 9""",5.75,Right,Pitcher,true,BRA_MEX,Verano-2025,,
670369.0,670369,"Torres, Christian",1993-09-07,"6' 0""",6.0,Left,Pitcher,true,DOR_CHI,Verano-2025,,
700071.0,700071,"Tovalin, Alexandro",1997-11-25,"6' 0""",6.0,Right,Pitcher,true,SAR_SAL,Verano-2025,,
641501.0,641501,"Danish, Tyler",1994-09-12,"6' 0""",6.0,Right,Pitcher,true,OLM_MEX,Verano-2025,,
608167.0,608167,"Aro, Jonathan",1990-10-10,"6' 0""",6.0,Right,Pitcher,true,AGU_VER,Verano-2025,,
628333.0,628333,"Despaigne, Odrisamer",1987-04-04,"6' 0""",6.0,Right,Pitcher,true,LEO_MEX,Verano-2025,,
641995.0,641995,"Ramírez, Roel",1995-05-26,"6' 0""",6.0,Right,Pitcher,true,TOR_TIJ,Verano-2025,,
683517.0,683517,"Garcia, Jorge",2002-05-10,"6' 0""",6.0,Right,Pitcher,true,GEN_MEX,Verano-2025,,
675540.0,675540,"Curry, Xzavion",1998-07-27,"6' 0""",6.0,Right,Pitcher,true,TIG_QUI,Verano-2025,,
687455.0,687455,"Cossio, Juan",1999-01-10,"6' 0""",6.0,Right,Pitcher,true,TIG_QUI,Verano-2025,,
664739.0,664739,"Garcia, Alan",1997-01-31,"6' 0""",6.0,Left,Outfielder,true,BRA_MEX,Verano-2025,,
670625.0,670625,"Moyers, Steven",1993-09-27,"6' 0""",6.0,Left,Pitcher,true,TIG_QUI,Verano-2025,,
657122.0,657122,"Williams, Ronnie",1996-01-06,"6' 0""",6.0,Right,Pitcher,true,LEO_MEX,Verano-2025,,
619854.0,619854,"Bustamante, Carlos",1994-09-25,"6' 0""",6.0,Right,Pitcher,true,PIR_MEX,Verano-2025,,
824049.0,824049,"Becerra, Alonso",2004-07-06,"6' 0""",6.0,Left,Pitcher,true,SUL_MON,Verano-2025,,
620982.0,620982,"Pinto, Ricardo",1994-01-20,"6' 0""",6.0,Right,Pitcher,true,DIA_ROJ,Verano-2025,,
800079.0,800079,"Alvarado, Cristian",2003-07-06,"6' 0""",6.0,Right,Pitcher,true,PER_MEX,Verano-2025,,
553868.0,553868,"Elenes, Norman",1992-07-10,"6' 0""",6.0,Right,Pitcher,true,AGU_VER,Verano-2025,,
669476.0,669476,"Walters, Jake",1996-03-11,"6' 0""",6.0,Right,Pitcher,true,GEN_MEX,Verano-2025,,
808721.0,808721,"Kelly, Kevin",1990-05-27,"6' 0""",6.0,Right,Pitcher,true,DOR_CHI,Verano-2025,,
642563.0,642563,"Vizcaíno, Raffi",1995-12-02,"6' 0""",6.0,Right,Pitcher,true,REI_MEX,Verano-2025,,
570666.0,570666,"Cessa, Luis",1992-04-25,"6' 0""",6.0,Right,Pitcher,true,SUL_MON,Verano-2025,,
832567.0,832567,"Kim, Gyeongju",1998-12-15,"6' 0""",6.0,Right,Pitcher,true,PIR_MEX,Verano-2025,,
672558.0,672558,"Perez, Cleiverth",2000-02-05,"6' 0""",6.0,Left,Pitcher,true,PER_MEX,Verano-2025,,
805749.0,805749,"Tedesco, Brady",1996-10-17,"6' 0""",6.0,Left,Pitcher,true,DOR_CHI,Verano-2025,,
642664.0,642664,"Bautista, Wendolyn",1993-03-27,"6' 0""",6.0,Right,Pitcher,true,REI_MEX,Verano-2025,,
542278.0,542278,"Quintero, Fredy",1987-12-29,"6' 0""",6.0,Right,Pitcher,true,CON_QUE,Verano-2025,,
672767.0,672767,"Carrasco, Deury",1999-09-20,"6' 0""",6.0,Right,Pitcher,true,GEN_MEX,Verano-2025,,
547862.0,547862,"Reyes, David",1990-04-12,"6' 0""",6.0,Right,Pitcher,true,TOR_TIJ,Verano-2025,,
816330.0,816330,"Foster, Kobe",1998-04-16,"6' 0""",6.0,Left,Pitcher,false,TIG_QUI,Verano-2025,,
570810.0,570810,"Bonilla, Lisalverto",1990-06-18,"6' 0""",6.0,Right,Pitcher,true,BRA_MEX,Verano-2025,,
547176.0,547176,"Camarena, Daniel",1992-11-09,"6' 0""",6.0,Left,Pitcher,true,ROJ_MEX,Verano-2025,,
641582.0,641582,"Foster, Matt",1995-01-27,"6' 0""",6.0,Right,Pitcher,true,VAQ_LAG,Verano-2025,,
800545.0,800545,"Hernandez, Diego",2004-08-12,"6' 0""",6.0,Right,Pitcher,true,ROJ_MEX,Verano-2025,,
477584.0,477584,"Solis, Tomas",1982-10-02,"6' 0""",6.0,Left,Pitcher,true,REI_MEX,Verano-2025,,
700005.0,700005,"Perez, Hector",1996-10-09,"6' 0""",6.0,Right,Pitcher,false,GEN_MEX,Verano-2025,,
677644.0,677644,"Perez, Brayan",2000-09-05,"6' 0""",6.0,Left,Pitcher,true,ACE_MEX,Verano-2025,,
682926.0,682926,"Bautista, Jorge",2000-12-10,"6' 0""",6.0,Right,Pitcher,true,GEN_MEX,Verano-2025,,
664848.0,664848,"Sands, Donny",1996-05-16,"6' 0""",6.0,Right,Catcher,true,CHA_JAL1,Verano-2025,,
680024.0,680024,"Frutos, Jose",1997-07-07,"6' 0""",6.0,Right,Pitcher,true,AGU_VER,Verano-2025,,
678977.0,678977,"Herrera, Martin",2000-09-22,"6' 0""",6.0,Right,Pitcher,true,PIR_MEX,Verano-2025,,
477555.0,477555,"Rodriguez, Erick",1979-11-27,"6' 0""",6.0,Right,Catcher,false,SUL_MON,Verano-2025,,
681817.0,681817,"Mort, Zach",1997-05-22,"6' 0""",6.0,Right,Pitcher,true,SAR_SAL,Verano-2025,,
466463.0,466463,"Rodriguez, Pedro",1987-10-31,"6' 0""",6.0,Right,Pitcher,true,DOR_CHI,Verano-2025,,
448855.0,448855,"Guerra, Junior",1985-01-16,"6' 0""",6.0,Right,Pitcher,true,ROJ_MEX,Verano-2025,,
622415.0,622415,"Vizcaya, Anthony",1993-10-24,"6' 0""",6.0,Right,Pitcher,true,ROJ_MEX,Verano-2025,,
514919.0,514919,"Pirela, Jesus",1989-03-13,"6' 0""",6.0,Right,Pitcher,true,SUL_MON,Verano-2025,,
642511.0,642511,"Hernandez, Arnaldo",1996-02-09,"6' 0""",6.0,Right,Pitcher,true,CON_QUE,Verano-2025,,
592761.0,592761,"Smith, Caleb",1991-07-28,"6' 0""",6.0,Left,Pitcher,true,DOR_CHI,Verano-2025,,
643316.0,643316,"Fry, Paul",1992-07-26,"6' 0""",6.0,Left,Pitcher,true,SUL_MON,Verano-2025,,
681626.0,681626,"Diaz, Moises",2001-04-27,"6' 0""",6.0,Right,Pitcher,true,PER_MEX,Verano-2025,,
667498.0,667498,"Dugger, Robert",1995-07-03,"6' 0""",6.0,Right,Pitcher,true,GUE_MEX,Verano-2025,,
677743.0,677743,"Simon, Mark",1995-08-04,"6' 0""",6.0,Right,Pitcher,true,ACE_MEX,Verano-2025,,
667465.0,667465,"Fletcher, Aaron",1996-02-25,"6' 0""",6.0,Left,Pitcher,true,LEO_MEX,Verano-2025,,
660850.0,660850,"Robles, Juan",1997-11-06,"6' 0""",6.0,Right,Pitcher,true,CHA_JAL1,Verano-2025,,
616617.0,616617,"Gusman, Adrian",1991-08-05,"6' 0""",6.0,Left,Pitcher,true,CON_QUE,Verano-2025,,
807774.0,807774,"Smith, Tucker",1997-07-04,"6' 0""",6.0,Right,Pitcher,true,REI_MEX,Verano-2025,,
622426.0,622426,"Almeida, Adrian",1995-02-25,"6' 0""",6.0,Left,Pitcher,true,REI_MEX,Verano-2025,,
622556.0,622556,"García, Elniery",1994-12-24,"6' 0""",6.0,Left,Pitcher,true,REI_MEX,Verano-2025,,
683689.0,683689,"Reyes, Carlo",1998-07-04,"6' 0""",6.0,Right,Pitcher,true,REI_MEX,Verano-2025,,
681619.0,681619,"Hernandez, Robinson",1999-06-11,"6' 0""",6.0,Right,Pitcher,true,AGU_VER,Verano-2025,,
691714.0,691714,"Ribon, Kevin",2002-09-20,"6' 0""",6.0,Right,Pitcher,true,OLM_MEX,Verano-2025,,
828454.0,828454,"Salazar, Pedro",2003-06-13,"6' 0""",6.0,Left,Pitcher,true,CHA_JAL1,Verano-2025,,
642073.0,642073,"Sherfy, Jimmie",1991-12-27,"6' 0""",6.0,Right,Pitcher,true,TOR_TIJ,Verano-2025,,
